Fecha,Descripción,Monto,Categoría,Comercio
2024-01-15,Pago nómina,2800.00,Salario,Empresa ABC S.A.
2024-01-16,Compra supermercado,-125.50,Alimentación,Mercadona
2024-01-17,Suscripción streaming,-15.99,Entretenimiento,Netflix
2024-01-18,Gasolinera,-60.00,Transporte,Repsol
2024-01-20,Almuerzo,-42.30,Restaurantes,Restaurante La Terraza
2024-01-22,Gimnasio mensualidad,-45.00,Salud,McFit
2024-01-25,Compra online,-89.99,Compras,Amazon
2024-02-01,Alquiler apartamento,-850.00,Vivienda,Inmobiliaria XYZ
2024-02-05,Farmacia,-28.50,Salud,Farmacia Central
2024-02-10,Transferencia recibida,200.00,Otros Ingresos,Bizum Amigo
2024-02-12,Cine,-24.00,Entretenimiento,Cines Yelmo
2024-02-15,Pago nómina,2800.00,Salario,Empresa ABC S.A.
2024-02-16,Supermercado,-145.80,Alimentación,Carrefour
2024-02-18,Uber,-18.50,Transporte,Uber
2024-02-20,Ropa nueva,-129.00,Compras,Zara
